generation,best_fitness,median_fitness
0,0.036027,0.036027
1,0.035054,0.036027
2,0.035054,0.036027
3,0.035054,0.035540
4,0.035054,0.035540
5,0.035054,0.035540
6,0.035054,0.035540
7,0.035054,0.035540
8,0.035054,0.035540
9,0.035054,0.035540
10,0.035054,0.035540
11,0.035054,0.035540
12,0.035054,0.035540
13,0.035054,0.035540
14,0.035054,0.035054
15,0.035054,0.035540
16,0.035054,0.035540
17,0.035054,0.035540
18,0.035054,0.035540
19,0.035054,0.035540
20,0.035054,0.035540
21,0.035054,0.035540
22,0.035054,0.035054
23,0.035054,0.035540
24,0.035054,0.035540
25,0.035054,0.035540
26,0.035054,0.035054
27,0.035054,0.035540
28,0.035054,0.035540
29,0.035054,0.035540
30,0.035054,0.035540
31,0.035054,0.035540
32,0.035054,0.035540
33,0.035054,0.035540
34,0.035054,0.035540
35,0.035054,0.035540
36,0.035054,0.035540
37,0.035054,0.035540
38,0.035054,0.035054
39,0.035054,0.035540
40,0.035054,0.035540
41,0.035054,0.035540
42,0.035054,0.035540
43,0.035054,0.035540
44,0.035054,0.035540
45,0.035054,0.035540
46,0.035054,0.035540
47,0.035054,0.035540
48,0.035054,0.035540
49,0.035054,0.035540
50,0.035054,0.035540
51,0.035054,0.035540
52,0.035054,0.035540
53,0.035054,0.035540
54,0.035054,0.035054
55,0.035054,0.035540
56,0.035054,0.035540
57,0.035054,0.035540
58,0.035054,0.035540
59,0.035054,0.035540
60,0.035054,0.035540
61,0.035054,0.035540
62,0.035054,0.035540
63,0.035054,0.035540
64,0.035054,0.035054
65,0.035054,0.035540
66,0.035054,0.035540
67,0.035054,0.035540
68,0.035054,0.035540
69,0.035054,0.035540
70,0.035054,0.035540
71,0.035054,0.035540
72,0.035054,0.035540
73,0.035054,0.035540
74,0.035054,0.035540
75,0.035054,0.035540
76,0.035054,0.035540
77,0.035054,0.035540
78,0.035054,0.035540
79,0.035054,0.035540
80,0.035054,0.035540
81,0.035054,0.035540
82,0.035054,0.035540
83,0.035054,0.035540
84,0.035054,0.035540
85,0.035054,0.035540
86,0.035054,0.035540
87,0.035054,0.035054
88,0.035054,0.035540
89,0.035054,0.035540
90,0.035054,0.035540
91,0.035054,0.035540
92,0.035054,0.035540
93,0.035054,0.035540
94,0.032619,0.035540
95,0.032619,0.035540
96,0.030185,0.035540
97,0.029698,0.035540
98,0.029698,0.033593
99,0.029211,0.031159
100,0.029211,0.030185
101,0.028724,0.030185
102,0.028724,0.029698
103,0.028724,0.029698
104,0.028724,0.029698
105,0.028238,0.029698
106,0.028238,0.029211
107,0.028238,0.029211
108,0.028238,0.029211
109,0.028238,0.029211
110,0.028238,0.029211
111,0.028238,0.028724
112,0.028238,0.028724
113,0.028238,0.028724
114,0.028238,0.028724
115,0.028238,0.028724
116,0.028238,0.028724
117,0.028238,0.028724
118,0.028238,0.028724
119,0.028238,0.029211
120,0.028238,0.028724
121,0.028238,0.029211
122,0.028238,0.028724
123,0.028238,0.028724
124,0.028238,0.028724
125,0.028238,0.028724
126,0.028238,0.029211
127,0.028238,0.029211
128,0.028238,0.028724
129,0.028238,0.028724
130,0.028238,0.029211
131,0.028238,0.029211
132,0.028238,0.028724
133,0.028238,0.028724
134,0.028238,0.029211
135,0.028238,0.029211
136,0.028238,0.029211
137,0.028238,0.028724
138,0.028238,0.028724
139,0.028238,0.029211
140,0.028238,0.028724
141,0.028238,0.028724
142,0.028238,0.028724
143,0.027264,0.028724
144,0.027264,0.028724
145,0.025803,0.028724
146,0.025803,0.028238
147,0.025803,0.027264
148,0.025803,0.026777
149,0.025316,0.026777
150,0.025316,0.026290
151,0.025316,0.026290
152,0.024830,0.026777
153,0.024830,0.026290
154,0.024830,0.025803
155,0.024830,0.025316
156,0.024343,0.025803
157,0.024343,0.025803
158,0.024343,0.025316
159,0.024343,0.025316
160,0.024343,0.025316
161,0.024343,0.025316
162,0.022882,0.025316
163,0.022882,0.024830
164,0.022882,0.024830
165,0.022882,0.024830
166,0.022882,0.024830
167,0.022882,0.023856
168,0.022882,0.023856
169,0.022882,0.023856
170,0.022882,0.023856
171,0.022882,0.023856
172,0.022882,0.023856
173,0.022882,0.023369
174,0.022882,0.023856
175,0.022882,0.023856
