generation,best_fitness,median_fitness
0,0.737910,0.737910
1,0.702028,0.737910
2,0.702028,0.737910
3,0.702028,0.702028
4,0.702028,0.702028
5,0.702028,0.702028
6,0.702028,0.702028
7,0.702028,0.702028
8,0.410296,0.702028
9,0.410296,0.702028
10,0.358814,0.702028
11,0.358814,0.435257
12,0.354134,0.410296
13,0.354134,0.405616
14,0.354134,0.363495
15,0.354134,0.358814
16,0.352574,0.357254
17,0.352574,0.354134
18,0.352574,0.355694
19,0.352574,0.354134
20,0.352574,0.355694
21,0.352574,0.354134
22,0.352574,0.354134
23,0.352574,0.354134
24,0.352574,0.354134
25,0.352574,0.354134
26,0.352574,0.352574
27,0.352574,0.354134
28,0.352574,0.354134
29,0.352574,0.355694
30,0.352574,0.354134
31,0.352574,0.354134
32,0.352574,0.354134
33,0.352574,0.357254
34,0.352574,0.354134
35,0.352574,0.352574
36,0.352574,0.352574
37,0.352574,0.354134
38,0.352574,0.354134
39,0.352574,0.354134
40,0.352574,0.354134
41,0.352574,0.354134
42,0.352574,0.354134
43,0.352574,0.354134
44,0.352574,0.352574
45,0.352574,0.354134
46,0.352574,0.354134
47,0.352574,0.352574
48,0.352574,0.354134
49,0.352574,0.354134
50,0.352574,0.354134
51,0.352574,0.354134
52,0.352574,0.354134
