generation,best_fitness,median_fitness
0,0.737910,0.737910
1,0.702028,0.737910
2,0.702028,0.737910
3,0.702028,0.702028
4,0.702028,0.702028
5,0.702028,0.702028
6,0.702028,0.702028
7,0.702028,0.702028
8,0.702028,0.702028
9,0.702028,0.702028
10,0.702028,0.702028
11,0.702028,0.702028
12,0.702028,0.702028
13,0.702028,0.702028
14,0.702028,0.702028
15,0.702028,0.702028
16,0.702028,0.702028
17,0.702028,0.702028
18,0.702028,0.702028
19,0.702028,0.702028
20,0.702028,0.702028
21,0.302652,0.702028
22,0.302652,0.702028
23,0.302652,0.702028
24,0.244930,0.702028
25,0.209048,0.302652
26,0.209048,0.302652
27,0.209048,0.249610
28,0.148206,0.244930
29,0.143526,0.209048
30,0.143526,0.209048
31,0.143526,0.148206
32,0.143526,0.148206
33,0.143526,0.145086
34,0.143526,0.145086
35,0.143526,0.143526
36,0.143526,0.143526
37,0.143526,0.145086
38,0.143526,0.143526
39,0.143526,0.143526
40,0.143526,0.143526
41,0.143526,0.145086
42,0.143526,0.143526
43,0.143526,0.145086
44,0.143526,0.143526
45,0.143526,0.145086
46,0.143526,0.143526
47,0.143526,0.143526
48,0.143526,0.143526
49,0.143526,0.145086
50,0.143526,0.143526
51,0.143526,0.143526
52,0.143526,0.145086
53,0.143526,0.145086
54,0.143526,0.143526
55,0.143526,0.143526
56,0.143526,0.143526
57,0.143526,0.143526
58,0.143526,0.143526
59,0.143526,0.143526
60,0.143526,0.143526
61,0.143526,0.143526
62,0.143526,0.143526
63,0.143526,0.145086
64,0.143526,0.143526
65,0.143526,0.143526
66,0.143526,0.145086
67,0.143526,0.145086
68,0.143526,0.143526
69,0.143526,0.143526
70,0.143526,0.143526
71,0.143526,0.145086
72,0.143526,0.145086
73,0.143526,0.143526
