generation,best_fitness,median_fitness
0,0.737910,0.737910
1,0.702028,0.737910
2,0.702028,0.702028
3,0.408736,0.702028
4,0.408736,0.702028
5,0.369735,0.702028
6,0.358814,0.433697
7,0.352574,0.421217
8,0.352574,0.371295
9,0.352574,0.372855
10,0.352574,0.371295
11,0.352574,0.365055
12,0.352574,0.366615
13,0.352574,0.369735
14,0.352574,0.366615
15,0.352574,0.371295
16,0.352574,0.366615
17,0.352574,0.366615
18,0.352574,0.371295
19,0.352574,0.371295
20,0.352574,0.371295
21,0.352574,0.371295
22,0.352574,0.366615
23,0.352574,0.366615
24,0.352574,0.371295
25,0.352574,0.371295
26,0.352574,0.366615
27,0.352574,0.372855
28,0.352574,0.369735
29,0.352574,0.371295
30,0.352574,0.366615
31,0.352574,0.371295
32,0.352574,0.366615
33,0.352574,0.365055
34,0.352574,0.371295
35,0.352574,0.366615
36,0.352574,0.365055
37,0.352574,0.371295
38,0.352574,0.369735
39,0.352574,0.369735
40,0.352574,0.366615
41,0.352574,0.366615
42,0.352574,0.371295
43,0.352574,0.371295
44,0.352574,0.371295
45,0.352574,0.371295
46,0.352574,0.371295
47,0.352574,0.366615
48,0.352574,0.366615
49,0.352574,0.366615
50,0.352574,0.368175
51,0.352574,0.368175
52,0.352574,0.368175
53,0.352574,0.368175
54,0.352574,0.371295
55,0.352574,0.369735
56,0.352574,0.371295
57,0.352574,0.371295
58,0.352574,0.368175
59,0.352574,0.366615
60,0.352574,0.366615
61,0.352574,0.368175
62,0.352574,0.369735
63,0.352574,0.366615
64,0.352574,0.371295
65,0.352574,0.366615
66,0.352574,0.368175
67,0.352574,0.371295
68,0.352574,0.369735
69,0.352574,0.368175
70,0.352574,0.371295
71,0.352574,0.368175
72,0.352574,0.371295
73,0.352574,0.366615
74,0.352574,0.371295
75,0.352574,0.366615
76,0.352574,0.371295
77,0.352574,0.371295
78,0.352574,0.366615
79,0.352574,0.368175
80,0.352574,0.371295
81,0.352574,0.369735
82,0.352574,0.368175
83,0.352574,0.371295
84,0.352574,0.371295
85,0.352574,0.366615
86,0.352574,0.365055
87,0.352574,0.366615
88,0.352574,0.366615
89,0.352574,0.366615
90,0.352574,0.368175
91,0.352574,0.366615
92,0.352574,0.366615
93,0.352574,0.371295
94,0.352574,0.369735
95,0.352574,0.365055
96,0.352574,0.371295
97,0.352574,0.371295
98,0.352574,0.371295
99,0.352574,0.371295
100,0.352574,0.371295
101,0.352574,0.366615
102,0.352574,0.366615
103,0.352574,0.366615
104,0.352574,0.366615
105,0.352574,0.371295
106,0.352574,0.366615
107,0.352574,0.371295
108,0.352574,0.368175
109,0.352574,0.365055
110,0.352574,0.366615
111,0.352574,0.366615
112,0.352574,0.371295
113,0.352574,0.371295
114,0.352574,0.365055
115,0.352574,0.369735
116,0.352574,0.366615
117,0.352574,0.371295
118,0.352574,0.371295
119,0.352574,0.371295
120,0.352574,0.371295
121,0.352574,0.371295
122,0.352574,0.368175
123,0.352574,0.371295
124,0.352574,0.371295
125,0.352574,0.368175
126,0.352574,0.366615
127,0.352574,0.368175
128,0.352574,0.372855
129,0.352574,0.368175
130,0.352574,0.366615
131,0.352574,0.369735
132,0.352574,0.366615
133,0.352574,0.365055
134,0.352574,0.371295
135,0.352574,0.371295
136,0.352574,0.371295
137,0.352574,0.369735
138,0.352574,0.366615
139,0.352574,0.366615
140,0.352574,0.371295
141,0.352574,0.371295
142,0.352574,0.371295
143,0.352574,0.369735
144,0.352574,0.372855
145,0.352574,0.371295
146,0.352574,0.366615
147,0.352574,0.368175
148,0.352574,0.366615
149,0.352574,0.366615
150,0.352574,0.369735
151,0.352574,0.371295
152,0.352574,0.371295
153,0.352574,0.371295
154,0.352574,0.371295
155,0.352574,0.371295
156,0.352574,0.371295
157,0.352574,0.371295
158,0.352574,0.365055
159,0.352574,0.371295
160,0.352574,0.371295
161,0.352574,0.371295
162,0.352574,0.371295
163,0.352574,0.366615
164,0.352574,0.366615
165,0.352574,0.371295
166,0.352574,0.371295
167,0.352574,0.371295
168,0.352574,0.366615
169,0.352574,0.371295
170,0.352574,0.371295
171,0.352574,0.371295
172,0.352574,0.368175
173,0.352574,0.369735
174,0.352574,0.366615
175,0.352574,0.365055
176,0.352574,0.366615
177,0.352574,0.366615
178,0.352574,0.371295
179,0.352574,0.371295
180,0.352574,0.371295
181,0.352574,0.371295
182,0.352574,0.366615
183,0.352574,0.369735
184,0.352574,0.371295
185,0.352574,0.366615
186,0.352574,0.371295
187,0.352574,0.371295
188,0.352574,0.366615
189,0.352574,0.366615
190,0.352574,0.366615
191,0.352574,0.371295
192,0.352574,0.365055
193,0.352574,0.366615
194,0.352574,0.366615
195,0.352574,0.369735
196,0.352574,0.371295
197,0.352574,0.369735
198,0.352574,0.371295
199,0.352574,0.368175
200,0.352574,0.366615
