ITERATION 1 | states=28 | queries=2810 | time_ms=104
ITERATION 2 | states=30 | queries=4645 | time_ms=155
ITERATION 3 | states=35 | queries=7140 | time_ms=202
ITERATION 4 | states=40 | queries=10887 | time_ms=266
ITERATION 5 | states=42 | queries=13395 | time_ms=307
ITERATION 6 | states=44 | queries=17752 | time_ms=365
ITERATION 7 | states=45 | queries=23330 | time_ms=430
ITERATION 8 | states=47 | queries=32057 | time_ms=535
ITERATION 9 | states=49 | queries=39498 | time_ms=629
ITERATION 10 | states=51 | queries=53409 | time_ms=782
ITERATION 11 | states=52 | queries=124056 | time_ms=1585
ITERATION 12 | states=53 | queries=420691 | time_ms=4551
ITERATION 13 | states=54 | queries=891539 | time_ms=9074
ITERATION 14 | states=55 | queries=1384852 | time_ms=13811
DONE | final_states=55 | total_queries=3556857 | total_time_ms=36112
