time_ms,unique_errors
0,0
3622,1
11216,2
11403,3
23788,4
29047,5
33533,6
45742,7
46017,8
57987,9
58386,10
61286,11
63944,12
83387,13
83612,14
96106,15
99810,16
118930,17
132594,18
160240,19
162480,20
222964,21
