generation,best_fitness,median_fitness
0,0.159030,0.183288
1,0.159030,0.183288
2,0.159030,0.183288
3,0.159030,0.185984
4,0.145553,0.183288
5,0.145553,0.183288
6,0.145553,0.185984
7,0.145553,0.185984
8,0.145553,0.183288
9,0.145553,0.196765
10,0.145553,0.183288
11,0.145553,0.296496
12,0.145553,0.221024
13,0.145553,0.196765
14,0.145553,0.175202
15,0.145553,0.172507
16,0.145553,0.221024
17,0.145553,0.221024
18,0.145553,0.172507
19,0.145553,0.169811
20,0.110512,0.175202
21,0.110512,0.172507
22,0.110512,0.172507
23,0.110512,0.196765
24,0.110512,0.172507
25,0.110512,0.134771
26,0.110512,0.185984
27,0.110512,0.137466
28,0.110512,0.167116
29,0.110512,0.185984
30,0.110512,0.191375
31,0.110512,0.161725
32,0.110512,0.134771
33,0.110512,0.134771
34,0.110512,0.167116
35,0.110512,0.169811
36,0.110512,0.169811
37,0.110512,0.204852
38,0.110512,0.185984
39,0.110512,0.185984
40,0.110512,0.185984
41,0.110512,0.185984
42,0.110512,0.215633
43,0.110512,0.137466
44,0.110512,0.167116
45,0.110512,0.167116
46,0.110512,0.137466
47,0.110512,0.148248
48,0.110512,0.148248
49,0.110512,0.137466
50,0.110512,0.161725
51,0.110512,0.137466
52,0.110512,0.148248
53,0.110512,0.137466
54,0.110512,0.137466
55,0.110512,0.169811
56,0.110512,0.140162
57,0.110512,0.185984
58,0.110512,0.185984
59,0.110512,0.161725
60,0.110512,0.210243
61,0.110512,0.137466
62,0.110512,0.167116
63,0.110512,0.185984
64,0.110512,0.185984
65,0.000000,0.137466
