generation,best_fitness,median_fitness
0,0.036027,0.036027
1,0.035540,0.036027
2,0.035540,0.036027
3,0.035540,0.035540
4,0.035540,0.035540
5,0.035540,0.035540
6,0.035540,0.035540
7,0.035540,0.035540
8,0.035540,0.035540
9,0.035540,0.035540
10,0.035540,0.035540
11,0.035540,0.035540
12,0.035540,0.035540
13,0.035540,0.035540
14,0.035540,0.035540
15,0.035540,0.035540
16,0.035540,0.035540
17,0.035540,0.035540
18,0.035540,0.035540
19,0.035540,0.035540
20,0.035540,0.035540
21,0.035540,0.035540
22,0.035540,0.035540
23,0.035540,0.035540
24,0.035540,0.035540
25,0.035540,0.035540
26,0.035540,0.035540
27,0.035540,0.035540
28,0.035540,0.035540
29,0.035540,0.035540
30,0.035540,0.035540
31,0.035540,0.035540
32,0.035540,0.035540
33,0.035540,0.035540
34,0.035540,0.035540
35,0.035540,0.035540
36,0.035540,0.035540
37,0.035540,0.035540
38,0.035540,0.035540
39,0.035540,0.035540
40,0.035540,0.035540
41,0.035540,0.035540
42,0.035540,0.035540
43,0.035540,0.035540
44,0.035540,0.035540
45,0.035540,0.035540
46,0.035540,0.035540
47,0.035540,0.035540
48,0.035540,0.035540
49,0.035540,0.035540
50,0.035540,0.035540
51,0.035540,0.035540
52,0.035540,0.035540
53,0.035540,0.035540
54,0.035540,0.035540
