generation,best_fitness,median_fitness
0,0.159030,0.258760
1,0.145553,0.258760
2,0.145553,0.188679
3,0.145553,0.291105
4,0.145553,0.309973
5,0.145553,0.283019
6,0.145553,0.221024
7,0.145553,0.309973
8,0.145553,0.250674
9,0.145553,0.309973
10,0.145553,0.309973
11,0.145553,0.307278
12,0.145553,0.309973
13,0.145553,0.309973
14,0.145553,0.291105
15,0.145553,0.250674
16,0.145553,0.309973
17,0.145553,0.291105
18,0.145553,0.258760
19,0.145553,0.283019
20,0.145553,0.309973
21,0.145553,0.309973
22,0.145553,0.283019
23,0.145553,0.309973
24,0.145553,0.307278
25,0.145553,0.309973
26,0.145553,0.291105
27,0.145553,0.309973
28,0.145553,0.309973
29,0.145553,0.283019
30,0.145553,0.309973
31,0.145553,0.272237
32,0.145553,0.309973
33,0.145553,0.277628
34,0.145553,0.245283
35,0.145553,0.247978
36,0.145553,0.229111
37,0.145553,0.309973
38,0.145553,0.315364
39,0.145553,0.242588
40,0.145553,0.234501
41,0.145553,0.291105
42,0.145553,0.309973
43,0.145553,0.253369
44,0.145553,0.245283
45,0.145553,0.247978
46,0.145553,0.274933
47,0.145553,0.315364
48,0.145553,0.250674
49,0.145553,0.283019
50,0.145553,0.283019
51,0.145553,0.307278
52,0.145553,0.283019
53,0.145553,0.283019
54,0.145553,0.283019
55,0.145553,0.291105
56,0.145553,0.283019
57,0.145553,0.269542
58,0.145553,0.258760
59,0.145553,0.291105
60,0.145553,0.309973
61,0.145553,0.247978
62,0.145553,0.266846
63,0.145553,0.309973
64,0.145553,0.309973
65,0.145553,0.309973
66,0.145553,0.291105
67,0.145553,0.250674
68,0.145553,0.283019
69,0.145553,0.250674
70,0.145553,0.283019
71,0.145553,0.291105
72,0.145553,0.245283
73,0.145553,0.250674
74,0.145553,0.250674
75,0.145553,0.250674
76,0.145553,0.283019
77,0.145553,0.253369
78,0.145553,0.258760
79,0.145553,0.250674
80,0.145553,0.261456
81,0.145553,0.283019
82,0.145553,0.283019
83,0.145553,0.309973
84,0.145553,0.283019
85,0.145553,0.309973
86,0.145553,0.283019
87,0.145553,0.307278
88,0.145553,0.291105
89,0.145553,0.307278
90,0.145553,0.309973
91,0.145553,0.269542
92,0.145553,0.309973
93,0.145553,0.221024
94,0.145553,0.283019
95,0.145553,0.309973
96,0.145553,0.272237
97,0.145553,0.309973
98,0.145553,0.226415
99,0.145553,0.250674
100,0.145553,0.291105
101,0.145553,0.274933
102,0.145553,0.250674
103,0.145553,0.226415
104,0.145553,0.283019
105,0.145553,0.304582
106,0.145553,0.283019
107,0.145553,0.250674
108,0.145553,0.229111
109,0.145553,0.283019
110,0.145553,0.309973
111,0.145553,0.309973
112,0.145553,0.309973
113,0.145553,0.283019
114,0.145553,0.226415
115,0.145553,0.309973
116,0.145553,0.309973
117,0.145553,0.309973
118,0.145553,0.309973
119,0.145553,0.277628
120,0.145553,0.239892
121,0.145553,0.309973
122,0.145553,0.283019
123,0.145553,0.226415
124,0.145553,0.309973
125,0.145553,0.274933
126,0.145553,0.309973
127,0.145553,0.334232
128,0.145553,0.307278
129,0.145553,0.307278
130,0.145553,0.283019
131,0.145553,0.258760
132,0.145553,0.309973
133,0.145553,0.250674
134,0.145553,0.226415
135,0.145553,0.309973
136,0.145553,0.309973
137,0.145553,0.309973
138,0.145553,0.283019
139,0.145553,0.283019
140,0.145553,0.334232
141,0.145553,0.239892
142,0.145553,0.250674
143,0.145553,0.309973
144,0.145553,0.309973
145,0.145553,0.283019
146,0.145553,0.283019
147,0.145553,0.309973
148,0.145553,0.291105
149,0.145553,0.269542
150,0.145553,0.283019
151,0.145553,0.283019
152,0.145553,0.307278
153,0.145553,0.283019
154,0.145553,0.309973
155,0.145553,0.258760
156,0.145553,0.283019
157,0.145553,0.237197
158,0.145553,0.264151
159,0.145553,0.245283
160,0.145553,0.250674
161,0.145553,0.283019
162,0.145553,0.277628
163,0.145553,0.307278
164,0.145553,0.309973
165,0.145553,0.291105
166,0.145553,0.245283
167,0.145553,0.291105
168,0.145553,0.309973
169,0.145553,0.266846
170,0.145553,0.309973
171,0.145553,0.280323
172,0.145553,0.283019
173,0.145553,0.250674
174,0.145553,0.309973
