time_ms,unique_errors
122,1
319,2
469,3
1470,4
2013,5
3449,6
7979,7
8744,8
9607,9
10285,10
16096,11
16150,12
18873,13
21796,14
32376,15
33352,16
34806,17
34826,18
36325,19
45996,20
55085,21
55693,22
69921,23
131062,24
131219,25
132250,26
182868,27
205700,28
210677,29
244814,30
