time_ms,unique_errors
24264,1
24620,2
25629,3
27996,4
29426,5
30443,6
32206,7
39173,8
40702,9
40713,10
45457,11
47498,12
58597,13
61421,14
76145,15
93428,16
108956,17
111964,18
123833,19
169536,20
169539,21
173195,22
177511,23
219798,24
255979,25
270933,26
272261,27
298095,28
