time_ms,unique_errors
0,0
2675,1
3450,2
8082,3
9797,4
16556,5
23338,6
27800,7
28058,8
30611,9
46137,10
52140,11
54218,12
56134,13
59915,14
59974,15
63564,16
64528,17
92931,18
155369,19
173573,20
